,rest_name,locality,rating,cuisines,cost_for_two,votes
1056,Bon Pizza                                     ,Navrangpura,3.8,"['Pizza', 'Fast Food']",500,75
1057,7 Days                                     ,Gurukul,3.5,['Fast Food'],250,87
1058,Zoola Cafe                                     ,Gurukul,3.6,"['Cafe', 'Sandwich']",350,73
1059,Brewers - The Coffee Bar                                     ,Ashram Road,3.7,['Fast Food'],400,68
1060,Rajwadi Fast Food                                     ,Satellite,3.5,"['Mughlai', 'North Indian', 'Fast Food']",350,96
1061,Kutchi King                                     ,Infocity,3.4,"['Fast Food', 'Street Food']",300,86
1062,House Of Chatora                                     ,Chandkheda,3.8,"['Sandwich', 'Desserts']",300,78
1063,9 Eleven                                     ,Shahibagh,3.8,"['North Indian', 'Pizza']",600,83
1064,Tummy Trembler                                     ,Ghatlodia,3.8,['Beverages'],250,89
1065,Foodman.com                                     ,Naranpura,2.5,['North Indian'],300,88
1066,Jay Matarani Doodh Bhandar                                     ,Infocity,4.1,"['Beverages', 'Ice Cream']",100,86
1067,Bull Fellow Milkshake                                     ,Chandkheda,4,"['Beverages', 'Fast Food']",500,78
1068,Shree Charbhuja                                     ,Naranpura,3.8,"['Sandwich', 'Fast Food']",250,101
1069,Bhook Jugaad                                     ,Navrangpura,3.5,"['North Indian', 'Fast Food']",300,79
1070,Hunger Bell                                     ,Naroda,3.6,"['Fast Food', 'Chinese', 'Beverages']",400,61
1071,TRS                                     ,Chandkheda,3.8,"['Fast Food', 'Street Food', 'Sandwich']",150,104
1072,Jamnagri Ghughra                                     ,Ashram Road,3.9,"['Gujarati', 'Street Food', 'Fast Food']",100,77
1073,Koba Social                                     ,Airport Gandhinagar Highway,3.6,"['Italian', 'Mexican', 'North Indian']",700,69
1074,Cakes N Bakes                                     ,Mani Nagar,3.4,"['Fast Food', 'Bakery', 'Desserts']",300,106
1075,Arabian Desi Cafe                                     ,Thaltej,3.4,"['Cafe', 'Sandwich', 'Pizza', 'Fast Food']",500,52
1076,Surf 'N' Fries                                     ,Ambavadi,4.3,"['Hot dogs', 'Finger Food', 'Beverages']",400,69
1077,Jagdish Food Zone                                     ,Vatva,2.6,"['North Indian', 'Chinese', 'Gujarati']",450,86
1078,Magic Chicken                                     ,Bopal,3.8,"['North Indian', 'Chettinad', 'Fast Food']",600,92
1079,Jalaram                                     ,Relief Road,4.1,['North Indian'],450,104
1080,Moms Paratha Cafe                                     ,Satellite,4.1,['North Indian'],400,52
1081,Shree Akshar Bhojnam                                     ,Naranpura,3.7,['Gujarati'],200,81
1082,Patel Wadi Garden Restaurant                                     ,Bopal,3.7,"['Gujarati', 'North Indian', 'Chinese']",500,94
1083,The Good Bowl                                     ,Vejalpur,3.5,"['Asian', 'Biryani', 'North Indian']",500,75
1084,Friends Kitchen                                     ,Bopal,3.9,"['North Indian', 'Chinese', 'Thai']",700,66
1085,Savannah - Club Babylon                                     ,Sola,3.8,"['Continental', 'Asian', 'North Indian']",800,59
1086,SGF - Spice Grill Flame                                     ,C G Road,3.7,"['North Indian', 'Chinese', 'Rolls']",450,77
1087,Belvedere Restaurant                                     ,Adalaj,3.7,"['North Indian', 'Chinese']","1,100",49
1088,Foodera                                     ,Vastrapur,4.2,"['North Indian', 'Chinese', 'Mughlai']",300,63
1089,Shyam Shikhar                                     ,Bapunagar,3.5,"['North Indian', 'Chinese', 'South Indian']",700,111
1090,SN Blu Restaurants & Banquets                                     ,Bodakdev,3.6,"['North Indian', 'Chinese', 'Continental']",800,72
1091,KQB Food Junction                                     ,Naranpura,3.4,['Fast Food'],300,74
